,No_edges,No_nodes,Avg_degree,Global_Clustering,Transitivity,Avg degree connectivity,Avg_path_length,Radius,Diameter,eccentricity,center,periphery,density,Assortativity,Global efficiency
2006,2651,176,30.125,0.7229303894141914,0.4902187989912071,"{56: 51.839285714285715, 37: 52.16216216216216, 42: 57.50595238095238, 116: 39.077586206896555, 14: 61.80612244897959, 60: 50.05555555555556, 59: 53.016949152542374, 33: 56.4, 43: 55.627906976744185, 84: 45.666666666666664, 101: 41.663366336633665, 36: 56.6875, 61: 49.78688524590164, 9: 51.7037037037037, 112: 39.857142857142854, 104: 41.91346153846154, 121: 37.83471074380165, 40: 51.25, 53: 52.301886792452834, 91: 43.51648351648352, 18: 55.951388888888886, 3: 59.5, 96: 42.71875, 35: 57.114285714285714, 71: 46.267605633802816, 75: 45.946666666666665, 28: 56.23809523809524, 52: 54.01923076923077, 48: 51.333333333333336, 78: 44.65384615384615, 26: 57.23717948717949, 39: 55.0, 97: 41.93814432989691, 24: 55.78333333333333, 23: 54.85507246376812, 22: 58.621212121212125, 85: 43.576470588235296, 27: 57.05555555555556, 46: 55.17391304347826, 73: 46.534246575342465, 30: 57.28888888888889, 110: 38.69090909090909, 29: 53.960591133004925, 25: 52.928, 19: 48.56842105263158, 55: 44.8, 16: 42.796875, 13: 42.76923076923077, 12: 50.5, 11: 34.95454545454545, 8: 37.125, 32: 58.4375, 41: 51.292682926829265, 44: 53.67045454545455, 10: 51.4375, 34: 61.85294117647059, 15: 51.233333333333334, 38: 58.05263157894737, 17: 47.970588235294116, 7: 55.339285714285715, 2: 59.916666666666664, 1: 63.0, 4: 58.75, 31: 66.70967741935483, 20: 47.75, 6: 67.5}",1.994025974025974,2,4,3.028409090909091,SG NL MY JP IT HK GB ES DE CN BE,WF VI VG TC SO NF KY KP KN KM HT GL CK BZ BM AI,0.17214285714285715,-0.16239059766980454,0.558474025974044
2007,2709,177,30.610169491525422,0.7234154043304771,0.4914585296889727,"{62: 49.67741935483871, 35: 57.59285714285714, 39: 58.782051282051285, 13: 56.35897435897436, 118: 39.186440677966104, 17: 56.61764705882353, 24: 52.635416666666664, 64: 50.484375, 55: 55.0, 34: 58.85294117647059, 41: 54.91463414634146, 93: 44.193548387096776, 103: 41.9126213592233, 40: 57.05, 57: 50.73684210526316, 9: 49.19444444444444, 104: 41.76923076923077, 112: 40.50892857142857, 33: 56.52121212121212, 121: 38.53719008264463, 42: 57.0, 28: 54.142857142857146, 44: 56.40909090909091, 96: 43.0, 50: 53.8, 63: 49.57142857142857, 4: 43.916666666666664, 37: 59.83783783783784, 100: 42.69, 70: 46.628571428571426, 82: 44.40650406504065, 27: 53.861111111111114, 54: 52.648148148148145, 20: 47.87, 21: 55.695238095238096, 99: 42.18181818181818, 45: 54.318518518518516, 25: 57.18666666666667, 22: 58.4, 36: 52.925925925925924, 71: 46.436619718309856, 29: 55.64655172413793, 105: 39.457142857142856, 16: 55.107142857142854, 58: 51.36206896551724, 52: 46.46153846153846, 23: 53.15652173913043, 14: 51.833333333333336, 18: 28.833333333333332, 10: 50.85, 19: 52.12280701754386, 8: 37.725, 3: 58.166666666666664, 43: 52.775193798449614, 38: 55.78947368421053, 53: 42.79245283018868, 11: 52.18181818181818, 46: 54.19565217391305, 7: 62.38095238095238, 32: 60.921875, 31: 60.79032258064516, 2: 56.285714285714285, 30: 64.06666666666666, 15: 47.6, 1: 70.25, 26: 61.78846153846154, 12: 58.166666666666664, 6: 70.33333333333333}",1.9912686183872625,2,4,2.937853107344633,US TW SG SA NL MY KR JP IT IN HK GB FR ES DE CN BE,WF TL PY NF IQ CK,0.17392141756548538,-0.1634127450863819,0.5594664869029355
2008,2665,176,30.28409090909091,0.7253486096895739,0.4922199795143701,"{59: 50.67796610169491, 42: 53.27777777777778, 114: 39.219298245614034, 18: 57.31481481481482, 26: 61.42307692307692, 61: 50.967213114754095, 57: 51.1578947368421, 38: 55.42982456140351, 43: 55.93023255813954, 100: 42.43, 104: 41.43269230769231, 34: 54.245098039215684, 56: 50.732142857142854, 3: 49.166666666666664, 99: 41.5959595959596, 105: 41.04761904761905, 33: 58.75151515151515, 119: 38.260504201680675, 45: 53.33888888888889, 30: 57.358333333333334, 96: 42.895833333333336, 25: 50.7, 8: 50.171875, 91: 44.02197802197802, 31: 55.41129032258065, 70: 46.628571428571426, 85: 44.64705882352941, 53: 53.43396226415094, 22: 57.64772727272727, 51: 53.254901960784316, 21: 41.74603174603175, 60: 50.583333333333336, 81: 44.51851851851852, 41: 57.13008130081301, 39: 60.8974358974359, 27: 63.351851851851855, 63: 49.93650793650794, 20: 49.9625, 83: 43.602409638554214, 36: 51.22222222222222, 9: 51.111111111111114, 23: 57.3304347826087, 71: 46.87323943661972, 101: 40.86138613861386, 19: 49.771929824561404, 28: 56.642857142857146, 14: 49.375, 48: 49.625, 17: 46.92156862745098, 5: 41.17142857142857, 4: 35.25, 44: 53.15909090909091, 13: 54.64102564102564, 37: 55.527027027027025, 24: 64.45833333333333, 62: 45.79032258064516, 11: 61.22727272727273, 15: 52.15555555555556, 16: 55.84375, 46: 49.5, 29: 59.839080459770116, 32: 61.03125, 2: 56.875, 47: 53.87234042553192, 35: 52.57142857142857, 1: 83.5, 10: 56.0, 12: 62.583333333333336, 7: 64.0, 40: 57.2, 6: 65.83333333333333}",2.004220779220779,2,4,2.965909090909091,US TW SG SA NL MY KR JP IN HK GB FR DE CN BE,WF TV PY NF ME KM GE CK AL,0.17305194805194804,-0.16065436713319492,0.5570400432900704
2009,2663,176,30.261363636363637,0.7273342176633784,0.5017208794923406,"{64: 49.34375, 43: 55.48255813953488, 109: 40.25688073394495, 13: 52.53846153846154, 29: 55.96551724137931, 59: 52.67796610169491, 51: 54.88235294117647, 37: 52.36486486486486, 39: 54.41025641025641, 92: 44.78260869565217, 96: 42.614583333333336, 40: 53.6, 54: 49.51234567901235, 6: 51.916666666666664, 95: 42.72631578947368, 98: 42.6530612244898, 32: 54.31875, 112: 39.36607142857143, 86: 45.348837209302324, 44: 53.68181818181818, 66: 46.984848484848484, 35: 56.82142857142857, 91: 43.46153846153846, 30: 57.916666666666664, 71: 46.88732394366197, 11: 52.25, 80: 45.5875, 25: 48.7, 26: 66.23076923076923, 52: 53.13461538461539, 61: 48.41803278688525, 23: 47.45652173913044, 60: 48.583333333333336, 53: 50.698113207547166, 79: 44.29113924050633, 38: 58.6578947368421, 102: 40.8921568627451, 48: 52.27777777777778, 31: 54.096774193548384, 17: 52.65882352941176, 58: 50.8448275862069, 18: 53.925925925925924, 88: 43.01136363636363, 34: 54.90196078431372, 10: 38.2, 36: 59.486111111111114, 42: 52.92857142857143, 77: 45.37662337662338, 24: 42.65625, 100: 41.39, 28: 60.69642857142857, 22: 47.95454545454545, 14: 47.48051948051948, 19: 48.01754385964912, 20: 43.525, 21: 48.5, 27: 49.98148148148148, 46: 46.5, 8: 45.839285714285715, 12: 55.638888888888886, 16: 56.5625, 33: 59.60606060606061, 2: 53.3, 15: 47.06666666666667, 1: 76.0, 3: 60.0, 5: 58.0, 4: 47.5, 9: 61.55555555555556, 7: 54.142857142857146}",2.027727272727273,2,4,2.9886363636363638,US TW SG NL MY MX KR JP HK GB FR DE CN BE,WF TV SO PY NF ME KM GE FK ER CK AL,0.17292207792207792,-0.12454914058269582,0.553138528138571
2010,2642,179,29.519553072625698,0.7261403653113437,0.5003889216263995,"{63: 49.73015873015873, 35: 55.72142857142857, 107: 40.00934579439252, 16: 43.63392857142857, 30: 54.78333333333333, 49: 55.95918367346939, 50: 51.69, 39: 56.47435897435897, 37: 55.78378378378378, 96: 42.447916666666664, 88: 43.75, 33: 56.696969696969695, 54: 51.611111111111114, 100: 41.5, 28: 48.207142857142856, 110: 39.14545454545455, 45: 53.08888888888889, 86: 43.83139534883721, 40: 57.15, 61: 48.78688524590164, 7: 45.73809523809524, 38: 56.875, 84: 44.79761904761905, 27: 51.648148148148145, 69: 45.15942028985507, 31: 53.08064516129032, 13: 51.4, 82: 43.75609756097561, 23: 49.31304347826087, 25: 67.6, 70: 47.52857142857143, 55: 49.69090909090909, 34: 57.794117647058826, 52: 50.19230769230769, 77: 44.62337662337662, 101: 40.89108910891089, 46: 50.93478260869565, 47: 51.829787234042556, 60: 47.65, 14: 52.17857142857143, 59: 51.13559322033898, 18: 48.870370370370374, 36: 58.907407407407405, 32: 54.68125, 10: 45.425, 26: 43.73076923076923, 104: 40.00961538461539, 20: 50.5, 58: 49.827586206896555, 19: 44.0, 17: 49.45378151260504, 24: 41.291666666666664, 22: 47.878787878787875, 15: 49.27619047619048, 11: 45.79220779220779, 21: 48.26190476190476, 41: 49.73170731707317, 42: 51.88095238095238, 29: 54.10344827586207, 44: 52.20454545454545, 2: 48.833333333333336, 12: 38.833333333333336, 1: 77.33333333333333, 3: 48.93333333333333, 6: 52.43333333333333, 5: 38.6, 43: 56.27906976744186, 8: 46.96875, 9: 63.166666666666664}",2.050153788211663,2,4,3.005586592178771,US TW SG PA NL MY KR JP HK GB FR CN BE,WF TV SO SL PY NU NR NF ME GE FK CK BG AL,0.16584018580126797,-0.11016074790248673,0.5471094093277576
2011,2644,178,29.707865168539325,0.7323523766163178,0.5006534027203204,"{67: 48.08955223880597, 35: 57.05714285714286, 105: 40.59047619047619, 14: 53.964285714285715, 30: 51.90555555555556, 46: 52.48913043478261, 55: 51.3, 34: 61.3235294117647, 39: 58.42307692307692, 38: 58.18421052631579, 96: 43.0625, 86: 44.69767441860465, 33: 58.58585858585859, 58: 50.3448275862069, 99: 41.686868686868685, 107: 40.06542056074766, 41: 55.983739837398375, 47: 53.808510638297875, 89: 44.73033707865169, 40: 56.375, 65: 48.06153846153846, 8: 48.69642857142857, 36: 52.43055555555556, 27: 61.53086419753087, 66: 46.77272727272727, 31: 57.956989247311824, 13: 52.07692307692308, 91: 42.97802197802198, 54: 51.47222222222222, 73: 47.58904109589041, 15: 50.27619047619048, 28: 54.63392857142857, 56: 49.75, 84: 44.142857142857146, 26: 50.36538461538461, 98: 42.09183673469388, 57: 50.19298245614035, 49: 54.244897959183675, 61: 50.459016393442624, 17: 46.01176470588236, 90: 42.077777777777776, 29: 54.3448275862069, 10: 45.36666666666667, 48: 52.333333333333336, 74: 45.66216216216216, 104: 40.33653846153846, 37: 61.4054054054054, 19: 46.078947368421055, 16: 41.708333333333336, 60: 50.85, 20: 43.73, 24: 38.916666666666664, 22: 51.0, 52: 47.92307692307692, 21: 47.5, 9: 42.77777777777778, 7: 57.0, 45: 49.51111111111111, 11: 56.92727272727273, 32: 57.609375, 25: 53.58, 42: 53.714285714285715, 2: 32.0, 12: 48.233333333333334, 1: 81.0, 3: 49.13333333333333, 23: 45.34782608695652, 5: 44.93333333333333, 18: 62.541666666666664, 43: 57.395348837209305, 4: 17.0}",2.039611502570939,2,4,3.0168539325842696,US SG PA NL MY KR JP HK GB FR CN BE,WF TV SO SL PY NU NR NF ME LR GE FK CK BG AL,0.1678410461499397,-0.12320238408128362,0.5495566981950873
2012,2638,181,29.14917127071823,0.7149046306764048,0.49325606319215654,"{66: 46.5, 37: 56.54054054054054, 47: 51.87234042553192, 103: 40.55339805825243, 11: 49.89393939393939, 34: 59.463235294117645, 44: 52.42424242424242, 55: 53.14545454545455, 36: 54.879629629629626, 40: 56.7125, 91: 42.776556776556774, 89: 42.51685393258427, 27: 52.37860082304527, 51: 51.1078431372549, 6: 34.43333333333333, 99: 41.07070707070707, 102: 40.13725490196079, 41: 56.170731707317074, 31: 51.60215053763441, 65: 45.84615384615385, 25: 48.89333333333333, 26: 54.92307692307692, 13: 55.205128205128204, 83: 43.98795180722892, 18: 46.092592592592595, 54: 50.370370370370374, 64: 48.609375, 14: 46.642857142857146, 52: 50.32692307692308, 42: 56.357142857142854, 93: 42.30107526881721, 62: 46.854838709677416, 56: 48.36904761904762, 17: 38.950980392156865, 33: 58.08080808080808, 32: 49.296875, 30: 59.5, 43: 54.23255813953488, 71: 45.11267605633803, 110: 38.74545454545454, 53: 50.9811320754717, 19: 46.44736842105263, 21: 44.93650793650794, 38: 50.78947368421053, 15: 45.53333333333333, 24: 50.375, 22: 54.18181818181818, 29: 53.293103448275865, 9: 42.074074074074076, 4: 58.0, 16: 64.84375, 12: 52.583333333333336, 23: 55.15942028985507, 57: 46.85964912280702, 28: 61.785714285714285, 2: 31.5, 10: 21.4, 5: 45.0, 3: 46.833333333333336, 8: 55.875, 20: 47.35, 39: 44.1025641025641, 7: 56.392857142857146, 1: 63.0}",2.0610190300798035,2,4,3.0994475138121547,SG NL MY KR HK GB CN BE,WF VI VG TV SV SO PY NU NR NI NF ME MD KY KN IQ HT GL GE ER CK BQ BM BG AL AI,0.16193984039287906,-0.11585365695252285,0.5441375076734318
2013,2652,180,29.466666666666665,0.720587953817741,0.49322966507177035,"{64: 46.734375, 39: 56.92307692307692, 44: 52.30681818181818, 101: 40.881188118811885, 21: 59.285714285714285, 34: 58.01470588235294, 51: 54.568627450980394, 35: 57.91428571428571, 38: 54.13157894736842, 40: 54.6, 93: 42.96774193548387, 86: 43.75581395348837, 29: 51.83448275862069, 52: 48.93589743589744, 98: 41.285714285714285, 102: 40.245098039215684, 43: 52.76744186046512, 83: 44.46987951807229, 27: 52.592592592592595, 59: 48.186440677966104, 6: 41.833333333333336, 88: 42.31818181818182, 25: 58.6, 67: 44.95522388059702, 12: 47.125, 81: 44.58024691358025, 17: 41.37908496732026, 24: 54.375, 57: 48.75438596491228, 66: 47.31818181818182, 54: 49.592592592592595, 90: 42.544444444444444, 30: 58.733333333333334, 42: 52.041666666666664, 92: 42.42391304347826, 9: 41.85858585858586, 19: 56.80701754385965, 60: 49.1, 15: 47.333333333333336, 87: 41.13793103448276, 5: 44.0, 32: 49.65625, 37: 49.75675675675676, 47: 51.659574468085104, 69: 45.666666666666664, 26: 49.09615384615385, 113: 38.1858407079646, 33: 62.24242424242424, 18: 44.645833333333336, 49: 52.0, 22: 45.90151515151515, 28: 42.121428571428574, 23: 47.130434782608695, 50: 49.8, 55: 46.43636363636364, 41: 47.63414634146341, 11: 51.75, 3: 35.166666666666664, 10: 49.86666666666667, 31: 53.60215053763441, 48: 51.8125, 62: 45.16129032258065, 2: 41.875, 7: 36.19047619047619, 20: 38.3, 8: 53.625, 14: 55.017857142857146, 1: 52.0, 4: 72.0}",2.0534450651769087,2,4,3.216666666666667,SG MY KR HK CN,YT WF VI VG VC TV SV SR SO QA PY NU NR NI NF MS ME MD LC KY KN KM JE IS IQ HT HN GY GL GG GE GD FO DM CW CK BQ BM BG BB AW AL AI AG,0.16461824953445064,-0.10371659547625414,0.5464514794123881
2014,2722,181,30.07734806629834,0.7230870839510881,0.4965312416707916,"{62: 48.32258064516129, 43: 55.7906976744186, 45: 51.82962962962963, 102: 41.622549019607845, 17: 50.60294117647059, 35: 53.9, 39: 55.84615384615385, 52: 54.96153846153846, 37: 56.67567567567568, 93: 43.806451612903224, 88: 44.65909090909091, 36: 56.333333333333336, 54: 51.888888888888886, 104: 41.26923076923077, 105: 40.84761904761905, 40: 55.375, 86: 45.01162790697674, 60: 49.108333333333334, 6: 40.583333333333336, 19: 51.26315789473684, 87: 43.701149425287355, 24: 61.416666666666664, 66: 46.90909090909091, 30: 56.67142857142857, 12: 53.81944444444444, 81: 45.65432098765432, 27: 68.01851851851852, 22: 49.628787878787875, 74: 46.445945945945944, 57: 48.71052631578947, 90: 43.21666666666667, 34: 56.23529411764706, 32: 51.9921875, 49: 51.183673469387756, 42: 50.86904761904762, 53: 50.075471698113205, 15: 43.44, 31: 54.5, 7: 45.6, 70: 46.1, 26: 44.59230769230769, 114: 38.99122807017544, 33: 54.166666666666664, 18: 41.09444444444444, 29: 41.3448275862069, 51: 50.529411764705884, 23: 46.65217391304348, 28: 53.083333333333336, 9: 36.3968253968254, 38: 61.31578947368421, 4: 41.5, 25: 56.68, 11: 49.31818181818182, 20: 52.18333333333333, 13: 55.43589743589744, 2: 23.666666666666668, 5: 46.63333333333333, 21: 55.76190476190476, 3: 57.0, 8: 52.9375, 14: 40.57142857142857, 10: 55.233333333333334, 1: 68.0, 16: 51.8125}",2.047697974217311,2,4,3.138121546961326,SG MY KR GB CN,WF VI VG TV SV SO QA PY PW NR NI NF MS ME MD KY KN KI IQ HT GW GL GE ER CV CK BQ BM AL AI,0.1670963781461019,-0.10330293854142697,0.5481072232453512
2015,2684,179,29.988826815642458,0.7235383307072516,0.49729378150479686,"{62: 50.12903225806452, 38: 56.85964912280702, 48: 50.333333333333336, 109: 39.72477064220183, 20: 54.45, 36: 56.166666666666664, 41: 57.75609756097561, 55: 51.345454545454544, 33: 51.888888888888886, 93: 43.473118279569896, 89: 43.741573033707866, 103: 40.95145631067961, 102: 41.15686274509804, 105: 40.38095238095238, 39: 51.705128205128204, 44: 56.02272727272727, 82: 45.68292682926829, 60: 49.43333333333333, 6: 44.125, 24: 47.833333333333336, 87: 44.62068965517241, 25: 57.92, 66: 46.84090909090909, 29: 55.351724137931036, 12: 54.154761904761905, 81: 45.160493827160494, 15: 56.24444444444445, 22: 50.93181818181818, 71: 45.88732394366197, 16: 44.515625, 51: 51.248366013071895, 37: 52.71621621621622, 59: 50.20338983050848, 86: 44.23837209302326, 30: 57.93333333333333, 45: 53.3, 57: 47.56140350877193, 53: 52.54716981132076, 17: 41.94117647058823, 88: 43.22727272727273, 35: 50.42857142857143, 49: 54.0, 27: 55.22222222222222, 19: 45.097744360902254, 54: 52.833333333333336, 28: 38.23809523809524, 18: 38.5, 9: 38.55555555555556, 8: 44.125, 5: 41.43333333333333, 11: 48.90909090909091, 31: 65.2258064516129, 14: 51.464285714285715, 34: 57.661764705882355, 32: 55.609375, 2: 22.166666666666668, 26: 53.09615384615385, 13: 40.03076923076923, 3: 42.666666666666664, 23: 48.47826086956522, 7: 40.224489795918366, 1: 68.0, 10: 46.06666666666667}",2.0497143933211976,2,4,3.0502793296089385,US SG NL MY KR HK CN BE,WF TV SO PY NR NF ME MD KI IQ GW GL GE ER CV CK AL,0.16847655514405876,-0.10008350799122069,0.5481660494214771
2016,2787,179,31.139664804469273,0.7204623216132869,0.5048845178684943,"{65: 49.8, 38: 56.80921052631579, 106: 41.66509433962264, 20: 53.28333333333333, 42: 56.57142857142857, 48: 55.833333333333336, 33: 57.515151515151516, 36: 61.69444444444444, 97: 43.5360824742268, 89: 45.140449438202246, 45: 55.94444444444444, 63: 51.29365079365079, 101: 42.881188118811885, 107: 41.299065420560744, 39: 58.967948717948715, 74: 48.86486486486486, 66: 48.515151515151516, 9: 47.074074074074076, 37: 49.932432432432435, 26: 58.33076923076923, 68: 47.4264705882353, 32: 50.34375, 12: 56.22222222222222, 10: 50.675, 44: 53.10227272727273, 55: 52.84848484848485, 22: 49.47727272727273, 75: 47.10666666666667, 16: 52.875, 57: 51.01754385964912, 61: 51.78688524590164, 83: 46.44578313253012, 25: 53.75, 30: 60.65555555555556, 56: 52.607142857142854, 58: 50.9367816091954, 17: 45.1764705882353, 27: 50.93827160493827, 19: 44.578947368421055, 90: 44.91111111111111, 11: 57.54545454545455, 40: 52.75, 51: 52.94117647058823, 64: 49.5390625, 31: 59.903225806451616, 108: 40.76851851851852, 49: 54.53061224489796, 14: 47.775510204081634, 18: 38.31481481481482, 34: 41.88235294117647, 28: 42.026785714285715, 29: 37.63793103448276, 69: 47.26086956521739, 35: 52.1, 15: 41.266666666666666, 24: 54.65972222222222, 6: 54.5, 23: 53.108695652173914, 13: 51.794871794871796, 21: 51.54761904761905, 2: 24.0, 46: 53.0, 5: 31.6, 3: 45.666666666666664, 1: 60.333333333333336, 7: 39.714285714285715, 8: 71.25, 4: 53.75}",2.0382273554704664,2,4,3.1396648044692737,NL MY KR CN BE,WF VI VG TV TL SV SO PY NR NI NF MS ME MD KY KN IQ HT GW GL GE ER CX CV CK BQ BM BG AL AI,0.17494193710375996,-0.09730125601759282,0.5522879919653662
2017,2696,179,30.122905027932962,0.720038777436596,0.5038450276626238,"{63: 48.63492063492063, 37: 53.729729729729726, 106: 40.85849056603774, 18: 54.142857142857146, 35: 52.79047619047619, 39: 58.957264957264954, 57: 53.73684210526316, 34: 53.23529411764706, 33: 55.833333333333336, 97: 42.175257731958766, 88: 44.20454545454545, 41: 56.69512195121951, 66: 47.64393939393939, 101: 41.227722772277225, 98: 42.59183673469388, 105: 40.714285714285715, 48: 52.9375, 70: 48.042857142857144, 62: 47.850806451612904, 17: 42.64705882352941, 32: 56.191964285714285, 89: 44.10112359550562, 28: 56.19285714285714, 26: 52.93076923076923, 7: 51.57142857142857, 79: 44.99367088607595, 9: 49.977777777777774, 56: 51.379464285714285, 22: 47.28787878787879, 77: 45.8051948051948, 16: 48.0375, 53: 50.06603773584906, 31: 54.0, 38: 52.36842105263158, 43: 55.04651162790697, 23: 47.95652173913044, 30: 60.84444444444444, 25: 49.64, 14: 46.517857142857146, 29: 47.5, 15: 37.46666666666667, 42: 51.61904761904762, 61: 49.16393442622951, 67: 47.208955223880594, 50: 53.26, 36: 46.638888888888886, 21: 47.095238095238095, 27: 49.4320987654321, 19: 39.91228070175438, 24: 48.239583333333336, 8: 45.75, 5: 50.9, 13: 49.40384615384615, 44: 52.97727272727273, 11: 54.72727272727273, 58: 49.96551724137931, 59: 48.847457627118644, 2: 30.75, 47: 52.148936170212764, 12: 47.083333333333336, 3: 54.55555555555556, 20: 51.925, 10: 54.55, 1: 50.333333333333336, 4: 26.125, 6: 59.25}",2.071307513652627,2,4,3.3240223463687153,SG CN,YT YE WF VI VG VC TV TN SY SV ST SO SL PY PR NR NI NF MS ME MD LY LV LT LR LC KY KW KN KM IS IE HT HN GW GN GM GL GI GF GE GD FO FM FI ER EE DM CY CV CK CD BZ BQ BM BG BB AL AI AG,0.16922980352771327,-0.09699945012849026,0.5454146004645224
2018,2682,179,29.966480446927374,0.7157815297313441,0.49638703195641254,"{59: 49.36440677966102, 104: 40.69871794871795, 12: 48.88095238095238, 38: 53.49342105263158, 36: 61.791666666666664, 54: 53.7037037037037, 32: 58.916666666666664, 97: 41.649484536082475, 87: 44.41379310344828, 41: 54.75609756097561, 61: 48.77049180327869, 100: 41.93, 106: 40.556603773584904, 34: 57.125, 47: 53.8936170212766, 67: 47.5, 57: 50.95614035087719, 20: 53.53333333333333, 29: 55.44827586206897, 91: 43.065934065934066, 30: 59.63333333333333, 58: 47.96551724137931, 8: 46.4375, 86: 43.825581395348834, 11: 49.12987012987013, 31: 56.20967741935484, 23: 49.30434782608695, 76: 45.4078947368421, 51: 52.07843137254902, 53: 50.83018867924528, 80: 43.7375, 22: 43.627272727272725, 98: 42.214285714285715, 42: 54.23015873015873, 24: 47.041666666666664, 62: 49.25806451612903, 16: 47.020833333333336, 10: 46.475, 13: 51.09230769230769, 60: 48.266666666666666, 71: 45.901408450704224, 27: 48.36296296296296, 33: 53.2060606060606, 44: 56.22727272727273, 15: 43.46666666666667, 35: 51.0, 26: 51.48076923076923, 50: 49.85, 19: 48.54385964912281, 17: 45.627450980392155, 63: 45.73015873015873, 14: 39.107142857142854, 21: 54.695238095238096, 5: 55.5, 39: 56.76923076923077, 25: 51.78, 28: 62.0, 56: 48.82142857142857, 2: 40.5, 18: 42.47222222222222, 3: 47.083333333333336, 9: 62.361111111111114, 1: 49.666666666666664, 4: 25.875, 7: 50.285714285714285, 6: 58.0}",2.0626451572406,2,4,3.3128491620111733,SG KR CN,YT YE WF VI VG VC TV TN SY SV ST SO SL PY PR NR NO NI NF MS ME MD LY LV LR LC KY KN KM IS IE HT HN GW GN GM GL GI GF GE GD FO FI ER EE DZ DM CY CV CK CD BZ BQ BM BG BB AL AI AG,0.168351013746783,-0.11265127023984442,0.5463561609440883
2019,2519,180,27.988888888888887,0.7171379800505023,0.49050352406605796,"{59: 46.98870056497175, 98: 39.71938775510204, 14: 47.98571428571429, 31: 55.70161290322581, 38: 52.93421052631579, 54: 49.59722222222222, 26: 45.53846153846154, 94: 40.02127659574468, 76: 44.5, 33: 50.50909090909091, 101: 38.04950495049505, 92: 40.76086956521739, 36: 55.69444444444444, 50: 50.23, 60: 47.7, 35: 57.614285714285714, 55: 47.084848484848486, 16: 46.825, 23: 58.65217391304348, 84: 42.95238095238095, 21: 47.70899470899471, 53: 46.490566037735846, 24: 51.61666666666667, 12: 44.57142857142857, 87: 41.45977011494253, 10: 48.43333333333333, 27: 55.407407407407405, 57: 48.73684210526316, 22: 51.67045454545455, 70: 44.128571428571426, 32: 58.625, 56: 47.875, 77: 42.16883116883117, 93: 40.774193548387096, 40: 53.725, 28: 60.410714285714285, 17: 48.53781512605042, 5: 57.86666666666667, 88: 40.95454545454545, 15: 34.05, 69: 43.7536231884058, 25: 46.06, 29: 50.57471264367816, 106: 37.39622641509434, 44: 52.88636363636363, 4: 40.0625, 11: 47.78787878787879, 43: 53.74418604651163, 30: 47.21111111111111, 37: 43.027027027027025, 49: 47.02040816326531, 18: 44.68055555555556, 20: 45.6, 65: 43.55384615384615, 7: 46.892857142857146, 13: 48.56410256410256, 63: 44.95238095238095, 19: 59.10526315789474, 2: 49.0, 46: 49.76086956521739, 3: 33.833333333333336, 9: 54.55555555555556, 8: 46.9375, 1: 45.5, 6: 41.0}",2.101117318435754,2,4,3.4055555555555554,SG KR CN,YT YE WF VI VG VE VC TV TT TN TC SY SV ST SR SO SN SL SD PY PR NR NO NI NF MS MR MQ ME MD LY LV LR LC KY KN KM IS IE HT HN GY GW GQ GP GN GM GL GI GF GE GD GA FO FI ER EE DZ DM CY CW CV CU CR CK CD BZ BQ BM BG BB AW AN AL AI AG,0.1563625077591558,-0.10649793441999107,0.536447341195969
2020,2468,181,27.2707182320442,0.7128224755269058,0.48516304542363176,"{61: 45.73770491803279, 97: 39.18556701030928, 10: 52.36666666666667, 27: 52.973544973544975, 38: 51.2, 49: 48.3469387755102, 29: 49.3448275862069, 33: 49.09090909090909, 95: 39.02105263157895, 72: 44.208333333333336, 30: 52.84444444444444, 57: 46.26315789473684, 96: 38.588541666666664, 89: 40.657303370786515, 98: 38.642857142857146, 48: 50.354166666666664, 35: 57.05714285714286, 56: 46.351190476190474, 18: 44.88095238095238, 15: 48.06666666666667, 78: 43.5, 21: 49.05555555555556, 52: 46.69230769230769, 25: 48.86666666666667, 12: 42.45, 83: 41.72289156626506, 58: 46.793103448275865, 69: 43.84057971014493, 16: 44.15972222222222, 54: 44.99074074074074, 77: 41.35064935064935, 24: 47.947916666666664, 50: 48.8, 42: 51.69047619047619, 53: 48.83018867924528, 5: 45.13333333333333, 37: 55.16216216216216, 70: 42.51428571428571, 105: 36.87619047619047, 39: 54.53846153846154, 4: 30.333333333333332, 47: 52.723404255319146, 14: 42.40816326530612, 19: 40.73684210526316, 31: 52.55483870967742, 23: 52.91304347826087, 32: 47.46875, 62: 42.403225806451616, 20: 43.05, 9: 46.925925925925924, 7: 40.476190476190474, 11: 48.06060606060606, 34: 49.294117647058826, 22: 46.20454545454545, 2: 49.0, 26: 66.07692307692308, 17: 53.627450980392155, 40: 50.525, 3: 32.06666666666667, 13: 50.333333333333336, 36: 50.333333333333336, 8: 53.03125, 6: 45.166666666666664, 1: 54.333333333333336}",2.119766728054021,2,4,3.403314917127072,SG KR CN,YT YE WF VI VG VE VC TV TT TN TC SY SV ST SR SO SD PY PR NU NR NO NI NF MS MR MQ ME MD LY LV LT LR LC KY KN KM IS IE HT HN GY GW GQ GP GN GM GL GI GF GE GD GA FO FI ER EE DZ DM CY CW CV CU CR CK CD BZ BQ BM BG BB AW AN AL AI AG,0.15150399017802332,-0.10137503856366599,0.5318702680581343
